lotnum,ytotal,y1,y2,y3,y4,y5,y6,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
Lot220,51,10,16,12,0,12,1,A,A2,B3,B4,C5,B6,A7,B8,A9,B10
Lot221,48,32,3,3,0,10,0,B,B2,A3,B4,C5,B6,A7,B8,A9,B10
Lot222,16,3,6,3,0,1,3,A,B2,A3,D4,C5,B6,A7,B8,B9,A10
Lot223,18,0,2,10,5,1,0,A,B2,A3,B4,C5,B6,B7,B8,B9,A10
Lot224,12,6,3,0,0,3,0,A,A2,B3,B4,C5,B6,B7,B8,A9,A10
Lot225,60,16,15,17,1,7,4,A,A2,A3,B4,C5,B6,A7,B8,A9,B10
Lot226,21,2,7,6,0,3,3,B,B2,D3,D4,C5,B6,A7,B8,B9,A10
Lot227,25,0,5,15,3,0,2,A,A2,A3,B4,C5,B6,B7,B8,B9,A10
Lot228,16,0,11,0,3,0,2,A,B2,A3,B4,C5,B6,A7,B8,A9,B10
Lot229,51,7,14,12,0,13,5,A,A2,C3,B4,C5,B6,A7,B8,A9,B10
Lot230,19,0,12,0,5,0,2,A,A2,A3,B4,C5,B6,A7,B8,A9,B10
Lot231,33,0,9,18,5,0,1,A,A2,A3,B4,C5,B6,B7,B8,B9,A10
Lot232,19,0,11,0,7,0,1,B,B2,A3,B4,C5,B6,B7,B8,B9,B10
Lot233,12,0,5,0,3,2,2,A,A2,A3,B4,C5,A6,A7,B8,A9,B10
Lot234,26,0,16,0,3,1,6,B,B2,A3,B4,C5,B6,B7,B8,B9,B10
Lot235,11,0,6,2,2,0,1,A,A2,A3,B4,C5,B6,A7,B8,B9,B10
Lot236,24,0,10,3,5,2,4,B,B2,A3,B4,C5,B6,B7,B8,B9,B10
Lot237,30,0,7,18,5,0,0,A,A2,A3,B4,C5,B6,B7,B8,A9,B10
Lot238,50,7,19,12,4,3,5,B,B2,A3,B4,C5,B6,A7,B8,A9,B10
Lot239,21,0,12,0,3,1,5,B,B2,A3,B4,C5,B6,A7,B8,A9,B10
Lot240,20,0,11,3,2,1,3,B,B2,A3,B4,C5,B6,A7,B8,A9,B10
Lot241,32,0,23,4,3,0,2,B,B2,A3,B4,C5,B6,A7,B8,A9,B10
Lot242,38,8,10,9,6,1,4,B,B2,A3,B4,C5,B6,A7,B8,A9,B10
Lot243,28,6,9,8,0,1,4,B,A2,A3,B4,C5,B6,A7,B8,A9,B10
Lot244,21,7,8,4,0,1,1,A,B2,E3,B4,C5,B6,A7,B8,A9,B10
Lot245,45,10,13,11,6,4,1,B,B2,A3,B4,C5,B6,A7,B8,A9,B10
Lot246,58,13,16,8,6,7,8,B,A2,A3,B4,C5,B6,A7,B8,A9,B10
Lot247,18,0,2,11,2,0,3,B,B2,A3,B4,C5,B6,B7,B8,A9,B10
Lot248,51,7,13,15,3,6,7,A,A2,A3,B4,C5,B6,A7,B8,A9,B10
Lot249,44,5,15,15,1,1,7,B,B2,A3,B4,C5,B6,A7,B8,A9,B10
Lot250,18,0,7,0,9,0,2,B,A2,D3,B4,C5,A6,A7,B8,A9,B10
Lot251,20,7,8,1,0,3,1,A,A2,E3,B4,C5,B6,B7,B8,A9,B10
Lot252,62,0,20,1,23,6,12,A,B2,A3,B4,C5,C6,A7,B8,A9,B10
Lot253,29,14,11,0,0,0,4,A,B2,E3,B4,C5,B6,A7,B8,A9,B10
Lot254,24,13,9,0,0,0,2,A,B2,A3,B4,C5,C6,A7,B8,A9,B10
Lot255,20,7,7,3,0,2,1,A,B2,E3,B4,C5,B6,A7,B8,A9,B10
Lot256,9,3,6,0,0,0,0,A,B2,A3,B4,C5,B6,B7,B8,A9,B10
Lot257,58,14,6,18,0,11,9,B,B2,B3,B4,C5,B6,A7,B8,A9,B10
