Price,Adj Close,Close,High,Low,Open,Volume
Ticker,000660.KS,000660.KS,000660.KS,000660.KS,000660.KS,000660.KS
Date,,,,,,
2016-02-02,25392.87890625,28450.0,28800.0,28150.0,28450.0,2865209
2016-02-03,24500.341796875,27450.0,27850.0,27200.0,27600.0,2705269
2016-02-04,25080.490234375,28100.0,28150.0,27600.0,27700.0,2459305
2016-02-05,25080.490234375,28100.0,28350.0,27900.0,28100.0,1484771
2016-02-11,24232.576171875,27150.0,27400.0,26950.0,27000.0,2468082
2016-02-12,24411.083984375,27350.0,27750.0,26850.0,26850.0,2350734
2016-02-15,24723.474609375,27700.0,28200.0,27500.0,27750.0,2162111
2016-02-16,25794.529296875,28900.0,29000.0,27800.0,27850.0,3851681
2016-02-17,26820.95703125,30050.0,30300.0,29150.0,29250.0,6106318
2016-02-18,26954.83203125,30200.0,30850.0,29800.0,30550.0,2972873
2016-02-19,26419.3046875,29600.0,30050.0,29250.0,29950.0,2336536
2016-02-22,26687.072265625,29900.0,30000.0,29400.0,29400.0,1366180
2016-02-23,27133.345703125,30400.0,30600.0,30000.0,30100.0,2123648
2016-02-24,27579.61328125,30900.0,31250.0,30600.0,31050.0,3480563
2016-02-25,27490.361328125,30800.0,31500.0,30650.0,31400.0,2527297
2016-02-26,27490.361328125,30800.0,31100.0,30450.0,31000.0,1282277
2016-02-29,26776.326171875,30000.0,30900.0,29600.0,30800.0,2989861
2016-03-02,27624.2421875,30950.0,31300.0,30650.0,31050.0,3567312
2016-03-03,28516.7890625,31950.0,32000.0,31100.0,31550.0,3898363
2016-03-04,28472.162109375,31900.0,32100.0,31550.0,31800.0,1913316
2016-03-07,28472.162109375,31900.0,32250.0,31500.0,32150.0,3487206
2016-03-08,27222.595703125,30500.0,31500.0,30300.0,31200.0,4616147
2016-03-09,27267.220703125,30550.0,30550.0,29650.0,29900.0,3503375
2016-03-10,27044.091796875,30300.0,30650.0,30150.0,30550.0,2734070
2016-03-11,27401.10546875,30700.0,30850.0,29900.0,29900.0,2117430
2016-03-14,27088.71484375,30350.0,31100.0,30250.0,31100.0,2062549
2016-03-15,26687.072265625,29900.0,30550.0,29750.0,30350.0,2078857
2016-03-16,26062.291015625,29200.0,29950.0,29050.0,29900.0,2902896
2016-03-17,26106.919921875,29250.0,29750.0,29100.0,29350.0,2768278
2016-03-18,26285.423828125,29450.0,29900.0,29250.0,29500.0,2864640
2016-03-21,26374.68359375,29550.0,29850.0,29300.0,29800.0,1783055
2016-03-22,26954.83203125,30200.0,30200.0,29550.0,29700.0,2546366
2016-03-23,26999.458984375,30250.0,30450.0,29850.0,30100.0,1868041
2016-03-24,26285.423828125,29450.0,29900.0,29350.0,29850.0,3587082
2016-03-25,26017.662109375,29150.0,29500.0,28900.0,29450.0,1978956
2016-03-28,25482.13671875,28550.0,29050.0,28150.0,29000.0,2795412
2016-03-29,25794.529296875,28900.0,29150.0,28700.0,28850.0,2343876
2016-03-30,25571.388671875,28650.0,29500.0,28650.0,29150.0,3512889
